Sample_num,Clarks,Coopers,FinalClass,CHECK WITH CLARK,COMPLETED,fname,ModelClass,ModelConf,FinalClass_filled
1,Unconsolidated Barren,Unconsolidated Barren,Unconsolidated Barren,,,og_shp_imagesCopy/1.png,Unconsolidated Barren,0.9553999304771423,Unconsolidated Barren
2,Unconsolidated Barren,Unconsolidated Barren,Unconsolidated Barren,,,og_shp_imagesCopy/2.png,Unconsolidated Barren,0.9971201419830322,Unconsolidated Barren
3,Unconsolidated Barren,Shrubs,Unconsolidated Barren,CHECK,,og_shp_imagesCopy/3.png,Unconsolidated Barren,0.9996134638786316,Unconsolidated Barren
4,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/4.png,Annual Crops (e.g wheat),0.9185270667076111,Annual Crops (e.g wheat)
5,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/5.png,Annual Crops (e.g wheat),0.9793198704719543,Annual Crops (e.g wheat)
6,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/6.png,Mixed or Not Classified,0.7982784509658813,Annual Crops (e.g wheat)
7,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/7.png,Annual Crops (e.g wheat),0.9981776475906372,Annual Crops (e.g wheat)
8,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/8.png,Annual Crops (e.g wheat),0.98544842004776,Annual Crops (e.g wheat)
10,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/10.png,Annual Crops (e.g wheat),0.918437123298645,Annual Crops (e.g wheat)
11,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/11.png,Annual Crops (e.g wheat),0.9319822192192078,Annual Crops (e.g wheat)
12,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),yes,,og_shp_imagesCopy/12.png,Natural Grassland,0.5422866940498352,Annual Crops (e.g wheat)
13,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/13.png,Annual Crops (e.g wheat),0.9951379895210266,Annual Crops (e.g wheat)
14,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/14.png,Annual Crops (e.g wheat),0.5320542454719543,Annual Crops (e.g wheat)
17,Annual Crops (e.g wheat),Shrubs,Shrubs,yes,,og_shp_imagesCopy/17.png,Shrubs,0.9973559379577637,Shrubs
18,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/18.png,Shrubs,0.9920105934143066,Shrubs
19,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/19.png,Mixed or Not Classified,0.9989691972732544,Mixed or Not Classified
22,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/22.png,Annual Crops (e.g wheat),0.9112250208854675,Annual Crops (e.g wheat)
23,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/23.png,Annual Crops (e.g wheat),0.7890239953994751,Annual Crops (e.g wheat)
24,Mixed or Not Classified,Shrubs,Shrubs,yes,,og_shp_imagesCopy/24.png,Shrubs,0.999259889125824,Shrubs
25,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/25.png,Mixed or Not Classified,0.9876656532287598,Mixed or Not Classified
26,Unconsolidated Barren,Unconsolidated Barren,Unconsolidated Barren,,,og_shp_imagesCopy/26.png,Unconsolidated Barren,0.9839091897010803,Unconsolidated Barren
27,Annual Crops (e.g wheat),Shrubs,Shrubs,,,og_shp_imagesCopy/27.png,Shrubs,0.9947935938835144,Shrubs
28,Annual Crops (e.g wheat),Shrubs,Mixed or Not Classified,,,og_shp_imagesCopy/28.png,Mixed or Not Classified,0.993516206741333,Mixed or Not Classified
29,Annual Crops (e.g wheat),Shrubs,Shrubs,,,og_shp_imagesCopy/29.png,Shrubs,0.6509886980056763,Shrubs
30,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/30.png,Shrubs,0.9990090131759644,Shrubs
31,Natural Grassland,Natural Grassland,Natural Grassland,,,og_shp_imagesCopy/31.png,Natural Grassland,0.9835024476051331,Natural Grassland
32,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Shrubs,yes,,og_shp_imagesCopy/32.png,Shrubs,0.9746823906898499,Shrubs
33,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/33.png,Shrubs,0.9392721652984619,Shrubs
34,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/34.png,Shrubs,0.9992813467979431,Shrubs
35,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/35.png,Shrubs,0.9997128844261169,Shrubs
40,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/40.png,Shrubs,0.9996875524520874,Shrubs
41,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/41.png,Shrubs,0.9994708895683289,Shrubs
42,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/42.png,Shrubs,0.9992755055427551,Shrubs
43,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/43.png,Shrubs,0.9977726340293884,Shrubs
44,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/44.png,Shrubs,0.9998644590377808,Shrubs
45,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/45.png,Natural Wooded Land,0.9811464548110962,Natural Wooded Land
46,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/46.png,Natural Wooded Land,0.9946388602256775,Natural Wooded Land
47,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/47.png,Annual Crops (e.g wheat),0.5091220140457153,Annual Crops (e.g wheat)
48,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/48.png,Shrubs,0.7287747859954834,Shrubs
49,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/49.png,Annual Crops (e.g wheat),0.9398679137229919,Annual Crops (e.g wheat)
51,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/51.png,Shrubs,0.9826181530952454,Shrubs
60,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/60.png,Shrubs,0.9981803894042969,Shrubs
65,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/65.png,Shrubs,0.9964051246643066,Shrubs
67,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/67.png,Shrubs,0.9845840930938721,Shrubs
78,Mixed or Not Classified,Mixed or Not Classified,Shrubs,yes,,og_shp_imagesCopy/78.png,Unconsolidated Barren,0.27569738030433655,Shrubs
82,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,yes,,og_shp_imagesCopy/82.png,Mixed or Not Classified,0.9997852444648743,Mixed or Not Classified
85,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/85.png,Shrubs,0.9991969466209412,Shrubs
97,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/97.png,Mixed or Not Classified,0.8767130374908447,Mixed or Not Classified
104,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/104.png,Shrubs,0.9990811347961426,Shrubs
107,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/107.png,Shrubs,0.999679446220398,Shrubs
113,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/113.png,Shrubs,0.9989896416664124,Shrubs
116,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/116.png,Shrubs,0.9735352993011475,Shrubs
118,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/118.png,Shrubs,0.39683997631073,Shrubs
120,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/120.png,Shrubs,0.9989644289016724,Shrubs
134,Shrubs,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/134.png,Natural Wooded Land,0.8688273429870605,Natural Wooded Land
135,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/135.png,Shrubs,0.9771286249160767,Shrubs
138,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/138.png,Shrubs,0.9895572066307068,Shrubs
141,Mixed or Not Classified,Shrubs,Shrubs,yes,,og_shp_imagesCopy/141.png,Shrubs,0.9993232488632202,Shrubs
160,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/160.png,Shrubs,0.41510653495788574,Mixed or Not Classified
179,Mixed or Not Classified,Shrubs,Shrubs,yes,,og_shp_imagesCopy/179.png,Shrubs,0.8700424432754517,Shrubs
181,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/181.png,Shrubs,0.9744827747344971,Shrubs
185,Mixed or Not Classified,Shrubs,Shrubs,yes,,og_shp_imagesCopy/185.png,Shrubs,0.9998286962509155,Shrubs
197,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/197.png,Shrubs,0.5178078413009644,Shrubs
199,Natural Wooded Land,Shrubs,Shrubs,,,og_shp_imagesCopy/199.png,Shrubs,0.9384483695030212,Shrubs
210,Shrubs,Natural Wooded Land,Shrubs,,,og_shp_imagesCopy/210.png,Natural Grassland,0.7434931993484497,Shrubs
213,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/213.png,Mixed or Not Classified,0.9951680898666382,Mixed or Not Classified
219,Mixed or Not Classified,"Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),yes,,og_shp_imagesCopy/219.png,Mixed or Not Classified,0.8402717113494873,Consolidated Barren (rocks salt pans)
232,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/232.png,Shrubs,0.9995980858802795,Shrubs
255,Shrubs,Shrubs,Shrubs,yes,,og_shp_imagesCopy/255.png,Shrubs,0.8117908239364624,Shrubs
257,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/257.png,Shrubs,0.993621289730072,Shrubs
263,Natural Grassland,Shrubs,Shrubs,,,og_shp_imagesCopy/263.png,Shrubs,0.9621042609214783,Shrubs
264,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/264.png,Shrubs,0.9894961714744568,Shrubs
265,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/265.png,Shrubs,0.9979575872421265,Shrubs
266,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/266.png,Annual Crops (e.g wheat),0.9886006712913513,Annual Crops (e.g wheat)
267,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/267.png,Annual Crops (e.g wheat),0.9993583559989929,Annual Crops (e.g wheat)
272,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/272.png,Shrubs,0.9992642998695374,Shrubs
273,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/273.png,Shrubs,0.9784606099128723,Shrubs
274,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/274.png,Shrubs,0.8404352068901062,Shrubs
275,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/275.png,Shrubs,0.9969712495803833,Shrubs
276,Shrubs,Shrubs,Shrubs,,,og_shp_imagesCopy/276.png,Shrubs,0.9833411574363708,Shrubs
277,Mixed or Not Classified,Shrubs,Shrubs,,,og_shp_imagesCopy/277.png,Shrubs,0.9998236298561096,Shrubs
